timestamp,schema,version,origin,provider,spec,status
2020-02-12T10:47:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-12T14:27:33.490371,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,arka1985/covid2019/master,success
2020-02-12T16:47:36.314998,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,mfreeborn/coronavirus-tracker/master,success
2020-02-12T19:35:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-12T20:08:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-12T20:59:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-12T21:38:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-12T21:56:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-12T22:18:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-13T00:01:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-13T00:08:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-13T00:45:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-13T03:09:27.646533,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-13T03:30:21.999849,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-13T05:34:05.874291,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-13T11:52:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,mfreeborn/coronavirus-tracker/3a19d19d2f1cdf034da0a41490a1672f54cb3a91,success
2020-02-13T19:08:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-13T21:58:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-13T22:16:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-14T07:52:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-14T09:32:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-14T10:39:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-14T15:51:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-15T22:36:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-16T15:51:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,deganza/coronavirus-ds/master,success
2020-02-17T01:02:00,binderhub.jupyter.org/launch,3,turing.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-17T05:34:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-18T01:34:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-18T08:12:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-18T08:47:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,pwrose/coronavirus-knowledge-graph/master,success
2020-02-18T08:56:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-18T09:07:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-18T09:20:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-19T05:49:17.937203,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-19T07:18:21.355154,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-19T16:17:15.387155,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-19T16:30:59.937133,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,mfreeborn/coronavirus-tracker/master,success
2020-02-19T19:41:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-20T01:28:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-20T06:51:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-21T09:15:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-22T05:32:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-22T18:15:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,mfreeborn/coronavirus-tracker/master,success
2020-02-23T02:25:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-24T11:42:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-25T05:55:00,binderhub.jupyter.org/launch,3,ovh.mybinder.org,GitHub,personal-hm2/coronavirus_model/master,success
2020-02-25T05:57:00,binderhub.jupyter.org/launch,3,ovh.mybinder.org,GitHub,personal-hm2/coronavirus_model/master,success
2020-02-25T18:19:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-25T19:12:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-25T20:59:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,betatim/coronavirus-2020/patch-1,success
2020-02-25T21:34:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-26T05:18:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-26T09:00:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-26T16:49:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-26T16:50:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T03:56:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T04:07:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T05:47:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T05:47:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T05:48:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T15:38:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T15:49:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T15:49:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T20:45:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-28T20:46:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-29T01:27:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-29T01:30:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-29T02:46:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-29T06:30:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-29T06:32:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-29T09:40:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,Physicist91/covid19/master,success
2020-02-29T09:53:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,Physicist91/covid19/master,success
2020-02-29T09:58:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,Physicist91/covid19/master,success
2020-02-29T10:05:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,Physicist91/covid19/master,success
2020-03-01T01:22:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-03-01T08:47:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-02T03:17:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph.git/master,success
2020-03-02T03:17:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph.git/master,success
2020-03-02T07:27:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-02T12:52:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-02T17:08:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-02T19:36:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-02T23:44:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,personal-hm2/coronavirus_model/master,success
2020-03-03T05:24:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T07:25:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T10:13:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,juthebest/covid-19-dashboard.git/master,success
2020-03-03T12:54:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T12:54:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T12:56:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T16:34:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T17:19:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T17:20:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T17:29:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T17:32:00,binderhub.jupyter.org/launch,3,ovh.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T17:32:00,binderhub.jupyter.org/launch,3,ovh.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T17:32:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,njahn82/corona_holepunch/master,success
2020-03-03T20:47:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T20:49:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T21:26:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T21:31:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T22:14:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T23:10:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-03T23:50:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-04T00:43:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-04T06:40:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-04T07:14:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-04T08:58:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-03-04T09:46:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,Physicist91/covid19/master,success
2020-03-04T12:14:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
